,Age,Diet,Died
0,0-34,Low,True
1,0-34,Low,True
2,0-34,Low,True
3,0-34,Low,False
4,0-34,Low,False
5,0-34,Low,False
6,0-34,Low,False
7,0-34,Low,False
8,0-34,Low,False
9,0-34,Low,False
10,0-34,Low,False
11,0-34,Low,False
12,0-34,Low,False
13,0-34,Low,False
14,0-34,Low,False
15,0-34,Low,False
16,0-34,Low,False
17,0-34,Low,False
18,0-34,Low,False
19,0-34,Low,False
20,0-34,Low,False
21,0-34,Low,False
22,0-34,Low,False
23,0-34,Low,False
24,0-34,Low,False
25,0-34,Low,False
26,0-34,Low,False
27,0-34,Low,False
28,0-34,Low,False
29,0-34,Low,False
30,0-34,Low,False
31,0-34,Low,False
32,0-34,Low,False
33,0-34,Low,False
34,0-34,Low,False
35,0-34,Low,False
36,0-34,Low,False
37,0-34,Low,False
38,0-34,Low,False
39,0-34,Low,False
40,0-34,Low,False
41,0-34,Low,False
42,0-34,Low,False
43,0-34,Low,False
44,0-34,Low,False
45,0-34,Low,False
46,0-34,Low,False
47,0-34,Low,False
48,0-34,Low,False
49,0-34,Low,False
50,0-34,Low,False
51,0-34,Low,False
52,0-34,Low,False
53,0-34,Low,False
54,0-34,Low,False
55,0-34,Low,False
56,0-34,Low,False
57,0-34,Low,False
58,0-34,Low,False
59,0-34,Low,False
60,0-34,Low,False
61,0-34,Low,False
62,0-34,Low,False
63,0-34,Low,False
64,0-34,Low,False
65,0-34,Low,False
66,0-34,Low,False
67,0-34,Low,False
68,0-34,Low,False
69,0-34,Low,False
70,0-34,Low,False
71,0-34,Low,False
72,0-34,Low,False
73,0-34,Low,False
74,0-34,Low,False
75,0-34,Low,False
76,0-34,Low,False
77,0-34,Low,False
78,0-34,Low,False
79,0-34,Low,False
80,0-34,Low,False
81,0-34,Low,False
82,0-34,Low,False
83,0-34,Low,False
84,0-34,Low,False
85,0-34,Low,False
86,0-34,Low,False
87,0-34,Low,False
88,0-34,Low,False
89,0-34,Low,False
90,0-34,Low,False
91,0-34,Low,False
92,0-34,Low,False
93,0-34,Low,False
94,0-34,Low,False
95,0-34,Low,False
96,0-34,Low,False
97,0-34,Low,False
98,0-34,Low,False
99,0-34,Low,False
100,0-34,Low,False
101,0-34,Low,False
102,0-34,Low,False
103,0-34,Low,False
104,0-34,Low,False
